,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
元三,334,234,29.27733257911266,421.0,311.0,39.95559961172411,-10.038240501107719,80.09545118057166,59.167898615576696,804.8836601951126,516.602150654144
匯損,287,159,31.198771834751774,329.0,194.0,41.7639789466784,-9.952722661129282,62.592407217121334,36.908592705536584,804.5507424554095,403.8710403853054
權證市場,432,146,33.71753572456509,634.0,224.0,44.723743225349,-10.18180813443289,120.61880296551648,42.6161070414443,803.840259419148,250.80257361076562
幣對美元,239,164,30.140828467757142,243.0,167.0,40.87504678203567,-9.771896088878743,46.23086612085253,31.771829803219642,803.7906726509631,550.3079017443596
天收,548,513,25.67054604742329,915.0,860.0,36.40686584757877,-10.27042524836297,174.07918724518547,163.61541096268795,803.1791532568061,746.0763649251173
點成交值新台,233,228,27.89701954845193,233.0,228.0,38.601961592175,-9.753768704286186,44.328361342216624,43.377108952898666,803.0296215780027,785.7972262651703
新台幣億元月,233,230,27.84067824313236,233.0,230.0,38.54562028685543,-9.753768704286186,44.328361342216624,43.75760990862585,803.0296215780027,792.690184390303
證市場,436,150,33.57020138980042,644.0,234.0,44.49151368393811,-10.198454525547632,122.52130774415238,44.51861182008022,802.0555143244178,249.9252065030556
貶至,237,184,29.35744446967372,240.0,187.0,40.06378847053696,-9.769941563531788,45.66011468726175,35.576839360491455,801.8147120796774,619.2071867599722
點台股,297,285,27.45286656012961,349.0,332.0,38.44356899570651,-9.906414492934024,66.39741677439314,63.1631586507121,800.8978959378946,779.1184803148587
下滑,1467,1024,23.39959240344286,3742.0,2556.0,32.9138976507854,-10.668495714184159,711.9172881655563,486.2802214193377,800.8653690380239,594.6007004621682
狹幅,279,204,29.413725988703536,315.0,233.0,40.25981058627546,-9.88668716400767,59.928900527031054,44.328361342216624,800.8180727869101,575.1404161962841
洲股,378,302,28.040146795468,515.0,411.0,39.07930496190136,-10.06193490140755,97.97899609974918,78.19294640193576,800.291549685566,640.5897148672578
高低介在之間,232,136,31.209389374537338,232.0,136.0,41.90719414372862,-9.753768704286186,44.13811086435303,25.874064989448332,799.5831425154362,468.72115250904875
即期匯,232,213,28.31714265541028,232.0,213.0,39.014947424601544,-9.753768704286186,44.13811086435303,40.523351784944815,799.5831425154362,734.1000403266718
月以,857,724,24.57046885326516,1775.0,1523.0,34.64499327922617,-10.497414664795631,337.6945982078734,289.75147778624853,798.5857688030804,650.8052365618566
量億,330,299,27.55893312361184,415.0,377.0,38.52155380716821,-9.98557031834351,78.95394831339013,71.72443015457368,798.2389913836325,720.1756017753374
息的,660,517,26.265738712521106,1214.0,979.0,36.67345827940999,-10.392257472308268,230.96408012639904,186.25521782845524,796.9716349011953,587.3237389486447
