,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
超過億,86,73,20.592528807240136,990.0,862.0,36.755343884776785,-10.534689376479575,34.82780337432464,30.324814655220035,75.18687524884878,60.05548475455664
能可,49,44,20.945326112338183,432.0,387.0,38.55654948207753,-10.240128606075794,15.197586926978024,13.614504955417813,75.18319421689984,67.81578266177907
歸屬母公司,33,22,22.369455559568976,233.0,161.0,40.84654406562758,-10.056255458590421,8.196846652745092,5.6639154982487545,75.05281506778162,47.11716778452485
跌的,42,41,20.619861246029735,341.0,319.0,38.58641328606679,-10.11751258304481,11.996243384489597,11.222292198393495,75.04227633516675,79.013437383567
過在,60,54,20.76918174403436,587.0,570.0,37.37327836589046,-10.422545861228595,20.65042482901875,20.05237163976267,74.98097879133459,57.47157952127551
場仍,47,47,20.44699008579364,406.0,392.0,38.12801783514247,-10.187007785044678,14.2829173434099,13.790402952257837,74.94319765506674,79.97426470361667
股東常會,36,29,21.536111619954386,268.0,222.0,39.61516081353765,-10.10127509885008,9.428132630625255,7.80987105969704,74.8890754041946,57.494107274555105
元作收,45,37,21.413564274326923,380.0,361.0,38.339619396202714,-10.34385359265293,13.368247759841779,12.69983537184969,74.84658930308431,46.49650831412339
量測,35,15,24.4068412993367,257.0,127.0,43.02085059933211,-10.202030432320655,9.041157037577204,4.467809119736595,74.53266491744346,24.828062651173305
在資,45,43,20.691208446049615,381.0,363.0,38.31577983951326,-10.199096265535562,13.403427359209784,12.7701945705857,74.48418795351992,71.56047084867035
這波,71,51,21.756276022592736,755.0,629.0,37.89755112172603,-10.578199170940389,26.560597522843537,22.127968002474947,74.35301449179426,37.67152192071479
由台,95,84,20.188768750583442,1145.0,1033.0,35.97673262321054,-10.575299217240598,40.280641276365365,36.34052614714884,74.33367802122503,62.50392299586482
台灣,3466,1172,9.145509214467905,85115.0,27232.0,14.834887469698096,-11.211574608200417,2994.3116002077186,958.0108499895036,74.30420617652776,47.7983692175474
發表會,88,47,23.091060466428146,1028.0,720.0,38.35903528051872,-10.794997157264316,36.164628150308815,25.329311544963375,74.296513256775,18.540525165147624
新與,34,28,21.426383191930345,246.0,224.0,39.04198415599056,-10.14533508864411,8.654181444529153,7.880230258433048,74.23122826399234,51.36970890164914
成長但,43,41,20.722273535349323,356.0,339.0,38.411491756393644,-10.178321587640417,12.523937375009666,11.925884185753588,74.16121346755105,70.87979366678707
估值,46,40,21.135031441753306,396.0,329.0,39.215474374506705,-10.173071843615709,13.931121349729855,11.574088192073543,73.82126334759798,69.81391956779713
人認,104,93,19.943292801321235,1303.0,1183.0,35.446858696949796,-10.609102917789404,45.83901797651011,41.61746605234954,73.79520721124864,63.438864623820585
資通,63,44,22.02138008331345,636.0,349.0,41.43681780633596,-10.13677583524844,22.37422519805098,12.277680179433634,73.76584277887966,81.96219156155917
中下,45,44,20.580705591141065,383.0,327.0,39.07034531920096,-10.071664083943267,13.473786557945795,11.503728993337532,73.76561367656763,91.79698426049903
連續第,72,60,20.95653796780164,774.0,675.0,37.4809936220463,-10.486261675614703,27.229009910835625,23.746229573403163,73.61419163340194,55.349244648780044
機率,198,159,18.845869287896775,3087.0,2338.0,33.03298215489857,-10.754040486776056,108.59942324903047,82.24990332239496,73.59581556044174,71.61804576149378
再利用,38,17,24.267005287280664,295.0,184.0,41.44752305012381,-10.447615960517043,10.377981813561382,6.473046283712862,73.5187151412166,17.119722258696477
及智,38,34,21.052475516062493,295.0,276.0,38.73618786434886,-10.159933888065263,10.377981813561382,9.709569425569294,73.5187151412166,60.767372025525596
昨日表,46,44,20.67481276204332,397.0,381.0,38.204806998808756,-10.224503288172713,13.966300949097858,13.403427359209784,73.47384813085048,69.84409526567123
營運成長,33,33,20.546278635049788,236.0,217.0,38.998140255346755,-9.949283339038253,8.302385450849105,7.633973062857017,73.46950680976234,84.28577325043084
