,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
澎湖,224,118,28.471269131408345,2228.0,1401.0,36.30062502900145,-11.685496889090361,246.3903565470074,154.9339719579701,-2.034690291161909,-8.804513738033997
表示中,141,125,26.07297575901497,1438.0,1294.0,35.13267198449966,-11.548419704977563,159.02573281624626,143.10104190836068,-2.043235631167627,-2.2896249656801904
數位,445,231,26.751380334318306,4307.0,1964.0,35.883587327804854,-11.351560745611636,476.30308152960544,217.19508988255055,-2.057267633252166,0.8774394644644731
才有,120,99,26.715757061316218,1237.0,1092.0,35.8713834837391,-11.61188627338928,136.79751842398932,120.76223938479896,-2.062585845524962,-3.9217148129575774
太平島,341,81,32.90774874897721,3333.0,665.0,44.769031797240714,-11.316577853202434,368.59024163876825,73.54110731766603,-2.065224055583234,0.7565167574409172
位置,190,163,25.722057687651827,1907.0,1665.0,34.17552968672825,-11.5350701688268,210.89156639817915,184.129238622427,-2.0695827435103,-2.4246270071150127
有人,788,602,21.558825082414145,7501.0,5580.0,27.647263250283178,-11.437926577285554,829.5215729170119,617.0817726805661,-2.07835585449592,-0.36860571363208305
經費,211,112,28.53725407174656,2108.0,1352.0,36.377927235868356,-11.702081352526834,233.1197807904361,149.51515352403683,-2.098855363358419,-9.413004038455503
訪表示,126,122,25.721772057277843,1297.0,1238.0,35.055665448202824,-11.528471375730303,143.43280630227497,136.90810655529407,-2.118781214753502,-1.6233636316797617
工商,114,60,29.351527482740245,1182.0,632.0,40.08648392989371,-11.565784799143776,130.71517120222745,69.89169898460892,-2.1374485130537995,-1.3999618012385147
立即,302,257,24.57468345800007,2971.0,2487.0,32.33712313580276,-11.480996326127205,328.55733810644483,275.0326825549405,-2.1466335567630166,-1.1823236318916308
額為,116,80,27.78531446089178,1202.0,842.0,37.848334479045704,-11.564993346787464,132.9269338283227,93.11520655860872,-2.155478055323699,-1.8472669441667102
會再,158,149,25.507117653322922,1606.0,1470.0,34.533169034891266,-11.500311341046341,177.6045388754461,162.5645530179986,-2.1640096979076286,-1.1318402146236857
不好,158,131,26.28767059661584,1606.0,1332.0,35.35942443717142,-11.530479495118202,177.6045388754461,147.3033908979416,-2.1640096979076286,-1.8044428790864937
中午,292,234,25.077345475176173,2878.0,2260.0,33.08085902446217,-11.479038944127648,318.272641895102,249.92917674875974,-2.1687434648428465,-1.0152422986144503
必須,980,749,20.448487801040176,9290.0,7050.0,25.87289306832037,-11.453283879508113,1027.3637398212293,779.6463256985647,-2.1835731230337743,-1.204645296033412
通知,233,182,25.8508159826057,2321.0,1700.0,34.778510605809366,-11.44561681018653,256.67505275835015,187.99982321809364,-2.1837265331678344,-0.19147825796950518
完成,1059,748,20.660120022725625,10024.0,7036.0,26.087287663202694,-11.45263209510199,1108.535428198924,778.098091860298,-2.213513961242947,-1.164242841754181
