,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
多雲午後短暫,653,62,50.241366217020044,1198.0,90.0,55.91818528163034,-11.215153955216232,677.0228159147912,50.86148032748848,-0.8524021213320183,2.439304158984012
期內,583,514,33.89554292519888,1072.0,940.0,36.434657808565454,-11.446135279739943,605.8167434563072,531.2199056426574,-0.859342016499558,-0.5581966097134392
的安全,573,489,34.182472611979485,1055.0,916.0,36.56755519045996,-11.470132545130317,596.2095749500039,517.6568442219939,-0.9035151262121568,-1.5864075399174113
不清楚,522,467,34.083091377229195,963.0,876.0,36.4998626548287,-11.471515503198553,544.2178395041267,495.0517418542212,-0.9070492666703354,-1.5895312641634625
示由於,553,532,33.40071892195695,1019.0,990.0,35.792280496287056,-11.46354012371805,575.8649828190084,559.4762836023733,-0.9078646122121776,-1.3493800947862844
示將,916,883,31.742646556861683,1673.0,1598.0,33.99837987172297,-11.435661595653318,945.4584065320914,903.0738395925177,-0.9178592198392089,-0.44620829252229793
呈現,2158,1756,29.255897915805434,3899.0,3193.0,30.99810342444704,-11.440401088450779,2203.43235329864,1804.4522965074525,-0.9367651896199104,-1.301018065919482
愈來愈,695,601,33.52426715176548,1276.0,1110.0,35.87523514716122,-11.45599902970223,721.1027655319477,627.2915907056913,-0.9448783182979655,-1.1019560154759171
高速,695,510,34.762858349513486,1276.0,896.0,37.621078579068055,-11.406008357187618,721.1027655319477,506.3542930381075,-0.9448783182979655,0.02624877370397048
高達,2592,2120,28.204691792870392,4675.0,3869.0,29.790425038194265,-11.444058656965513,2641.9713392334293,2186.47852652281,-0.9451785898279323,-2.021238459484075
人權,1322,786,34.18458431967101,2403.0,1350.0,36.941543856595565,-11.383381748934328,1358.0015247439426,762.9222049123273,-0.9544243951663437,0.6980851031460197
較低,512,450,34.2606631342412,946.0,838.0,36.76549041502762,-11.464249187648777,534.6106709978234,473.5768946048372,-0.9562892600284304,-1.173769171469887
加碼,1114,725,34.1173330061547,2030.0,1325.0,36.39322845352997,-11.445474753496706,1147.2089451644624,748.7940159324693,-0.9613192466679826,-0.7560893679012268
有萬,1378,1104,31.56231618589206,2504.0,2025.0,33.536192285896824,-11.449108422634659,1415.0794082225684,1144.3833073684907,-0.9715938951177419,-1.425057062190156
以外,643,589,33.32926191915531,1183.0,1090.0,35.68901428051654,-11.45798546150266,668.5459025268764,615.9890395218049,-0.9761381132486019,-1.1825019725594688
將近,597,559,33.38433107936288,1100.0,1038.0,35.758748160991225,-11.461380260501794,621.6403151137481,586.6024064437005,-0.9766823581795969,-1.2988232457180713
去年底,628,551,33.72024316782053,1156.0,998.0,36.29706998429594,-11.436497137089608,653.2874584286299,563.9973040759279,-0.9788272306922642,-0.29952255448971066
約億元,624,487,34.609439217017595,1149.0,899.0,37.110328076933705,-11.45549758132009,649.3315655142696,508.0496757156905,-0.9882288887273158,-0.8721368577030401
於年月,722,594,33.78246628484426,1326.0,1122.0,35.95633314839848,-11.478467436651055,749.3591434916636,634.0731214160231,-0.9988838317361083,-2.5326023226423917
示大,674,622,33.12987801338744,1240.0,1134.0,35.575524078499626,-11.443045061479577,700.7581734009524,640.854652126355,-1.021750256983107,-0.5547247033727845
將進,690,649,32.9130785419808,1269.0,1180.0,35.352861912229,-11.44031567068668,717.1468726175876,666.8505198492934,-1.0276175230683922,-0.47782981253734264
亮眼,539,469,34.202440815826286,997.0,886.0,36.57105691429007,-11.47859285208986,563.4321765167335,500.7030174461644,-1.0594553776378037,-2.007340239965439
到萬,866,695,33.373578096144406,1587.0,1295.0,35.544995403683906,-11.464832798499906,896.8574364413802,731.8401891566398,-1.06168644540871,-1.854502604811869
目前的,529,508,33.533778451488196,979.0,940.0,36.020176471961186,-11.457877097616628,553.2598804512357,531.2199056426574,-1.063770969672044,-1.0149544705062312
過去年,702,619,33.34588266330295,1292.0,1155.0,35.605639891145636,-11.466229020202357,730.1448064790569,652.7223308694355,-1.0848945643582892,-1.7422348608066178
疫苗,564,162,42.2123741360026,1043.0,275.0,46.080638402050816,-11.371653432365246,589.4280442396721,155.41007877843703,-1.0969709367812293,0.2794352981978638
市中,559,465,34.436135292368114,1034.0,849.0,37.07839542414127,-11.44450045065505,584.3418962069233,479.7932977559747,-1.0990341571110886,-0.4561165391856529
的產品,884,717,33.21941409390898,1621.0,1322.0,35.461876179611274,-11.45430384974307,916.0717734539869,747.0986332548864,-1.122836312929496,-1.2125945403825684
台幣萬,1454,1284,30.517314474969268,2646.0,2289.0,32.657489761167284,-11.42061350563372,1495.3275216281613,1293.5769829957903,-1.1422006344579647,-0.07090308849593656
龍頭,961,753,33.190369009144284,1761.0,1447.0,35.046410160087035,-11.495661168762648,995.1896317411914,817.7395781541759,-1.1745810861726054,-5.12536398084237
